source_content_type_id,source_lcls3_code,target_place_type,target_subtype_code,target_subtype_name,mapping_status,source_count,sample_titles
15,EV020200,TOURIST_SPOT,PERFORMANCE_EVENT,공연 행사,CONFIRMED,7,시민창작예술축제 학산마당극놀래 / 제38회 춘천인형극제 / 서울프린지페스티벌2026
15,EV020300,TOURIST_SPOT,PERFORMANCE_EVENT,공연 행사,CONFIRMED,2,제20회 대구국제뮤지컬페스티벌 / 2026 실경역사뮤지컬 의기논개
15,EV020500,TOURIST_SPOT,PERFORMANCE_EVENT,공연 행사,CONFIRMED,2,2026젊은안무자창작공연 / 제46회 서울무용제
15,EV020600,TOURIST_SPOT,PERFORMANCE_EVENT,공연 행사,CONFIRMED,6,2026 이럴때이런음악 해설이 있는 청소년음악회 / 한국전력과 함께하는 2025 희망·사랑 나눔 콘서트 / 2026 평창대관령음악제
15,EV020700,TOURIST_SPOT,PERFORMANCE_EVENT,공연 행사,CONFIRMED,13,2026 토요상설무대 프러포즈 및 사천 락 페스티벌 / 제16회 INK 콘서트 / 2025 인천공항 스카이페스티벌
15,EV020800,TOURIST_SPOT,PERFORMANCE_EVENT,공연 행사,CONFIRMED,14,제4회 다대포 선셋 영화 축제 / 제8회 예천국제스마트폰영화제 / 남도영화제 시즌2 광양
15,EV020900,TOURIST_SPOT,PERFORMANCE_EVENT,공연 행사,CONFIRMED,13,2026 국립극장 쏙쏙들이페스티벌 / 생생우리음악축제 / 2026 문화가 있는날  - 문화배달
15,EV030100,TOURIST_SPOT,EXHIBITION_EVENT,전시·박람회,NEEDS_REVIEW,22,"〈도기陶器, 우리를 담은 질그릇〉 / 2026 광주 ACE Fair / 제24회 동강국제사진제"
15,EV030200,TOURIST_SPOT,EXHIBITION_EVENT,전시·박람회,NEEDS_REVIEW,37,제8회 농촌융복합산업 제주국제박람회 / 부산인디커넥트페스티벌 2026 / 일러스타 페스 12
15,EV030300,TOURIST_SPOT,EXHIBITION_EVENT,전시·박람회,NEEDS_REVIEW,3,2026 WSL 시흥 코리아 오픈 국제 서핑대회 / 2026 인터내셔널 키스포츠페스티벌 대구 / 2026 선양 맨몸마라톤
15,EV030400,TOURIST_SPOT,EXHIBITION_EVENT,전시·박람회,NEEDS_REVIEW,180,2026 안산 e스포츠 페스티벌 / 가든 나이트 마켓 / 우리동네 문화아지트 : LH주택전시관 복합문화행사
28,AC050100,ACCOMMODATION,CAMPING,캠핑·오토캠핑,CONFIRMED,1480,길안다슬기캠프 / 명수원 / 파머스힐캠핑장
28,AC050200,ACCOMMODATION,CAMPING,캠핑·오토캠핑,CONFIRMED,290,전원일기오토캠핑장 / 칠곡보 오토캠핑장 / 두산오토캠핑장
28,AC050300,ACCOMMODATION,GLAMPING_CARAVAN,글램핑·카라반,CONFIRMED,71,하늘땅카라반 / 핀란드카라반펜션 / 휴가든카라반
28,AC050400,ACCOMMODATION,GLAMPING_CARAVAN,글램핑·카라반,CONFIRMED,178,르쏠레이475카페글램핑 / 강변글램핑 / 멍글멍글 펫 글램핑
28,LS010100,ACTIVITY,SPORTS_FACILITY,체육시설,CONFIRMED,22,국제 롤러스케이트장 / 수완인라인롤러경기장 / 국제롤러스케이트
28,LS010200,ACTIVITY,CYCLING,자전거,CONFIRMED,17,섬진강 자전거하이킹 / 오동도-여자만자전거길 / 인제라이딩센터
